iter	RMSE
352	533.3875268
353	533.3106161
354	533.2271944
355	533.1238899
356	532.8616089
357	532.7771872
358	532.6662178
359	532.5630478
360	532.4352989
361	532.294271
362	532.1773582
363	532.0296668
364	531.7873367
365	531.6648825
366	531.4634503
367	531.4136016
368	531.2227477
369	531.1826507
370	531.0904189
371	530.9074824
372	530.7373416
373	530.6351258
374	530.5204463
375	530.4004149
376	530.2885919
377	530.1125939
378	530.0001434
379	529.80448
380	529.6848217
381	529.5590614
382	529.4466365
383	529.2315715
384	529.0593796
385	528.960995
386	528.8770068
387	528.7953464
388	528.6144949
389	528.507693
390	528.3244066
391	528.1757029
392	528.0864151
393	527.9524368
394	527.784577
395	527.5915815
396	527.4114647
397	527.3145333
398	527.1256085
399	526.9645456
400	526.8929351
401	526.7856614
402	526.630905
403	526.5602115
404	526.4615282
405	526.3189983
406	526.1639006
407	526.0238176
408	525.9853491
409	525.8253136
410	525.6782896
411	525.5765532
412	525.4627212
413	525.3277735
414	525.2351951
415	525.0890847
416	524.9708505
417	524.8424449
418	524.7312361
419	524.6089207
420	524.520125
421	524.452802
422	524.3574372
423	524.2206554
424	524.0816117
