iter	RMSE
352	536.3939908
353	536.1501313
354	536.0373963
355	535.8945595
356	535.8102675
357	535.681024
358	535.6301583
359	535.519103
360	535.347673
361	535.2384291
362	535.161103
363	535.0535894
364	534.9014896
365	534.7548888
366	534.6441472
367	534.4451018
368	534.3480192
369	534.2020509
370	534.0508526
371	534.0474793
372	533.9608711
373	533.8656178
374	533.7212112
375	533.5452714
376	533.4352409
377	533.3247745
378	533.252024
379	533.1292936
380	533.0622854
381	532.9975799
382	532.9071819
383	532.8271134
384	532.7798302
385	532.6306631
386	532.5856782
387	532.4192797
388	532.2295374
389	532.0998824
390	532.0383178
391	531.8712032
392	531.8141223
393	531.7022398
394	531.636092
395	531.4348482
396	531.2594486
397	531.1547862
398	531.0566178
399	530.9612625
400	530.8590984
401	530.7895749
402	530.6982634
403	530.5681275
404	530.4449567
405	530.2518995
406	530.1676918
407	530.0206142
408	529.9553261
409	529.8801659
410	529.7190279
411	529.5875651
412	529.502945
413	529.3146927
414	529.2177894
415	529.0592036
416	529.0154996
417	528.9602658
418	528.8693021
419	528.7669744
420	528.67346
421	528.5383846
422	528.445482
423	528.3518114
424	528.2933995
